EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;GRUPO DE VOO;PASSAGEIROS PAGOS
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;1706
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;6408
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;1080
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;2731
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;6546
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;2982
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;84
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;6160
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;208
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;621
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;608
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;239
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;6106
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;4179
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;577
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;2462
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;11
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;6942
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;2264
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;4036
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;55
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;1
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;2080
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;7720
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;473
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;1201
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;1788
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;3278
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;306
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;2464
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;4550
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;4265
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;8758
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;6306
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;3751
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;5452
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;5
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;465
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;330
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;9789
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;2627
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;7851
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;14810
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;52
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;192
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;2293
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;1564
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;19
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;454
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;72
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;4085
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;34
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;3057
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;54
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;309
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;762
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;3231
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;6923
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;83
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;7080
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;9437
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S.A.;BRASILEIRA;2019;4;REGULAR;694
